X,PC1,PC2,PC3,PC4,PC5,PC6,Plate,SpawnTrt_Label,bags_label,clean_ID,SpawnTrt_Label_check,bags_label_check,Label_ind,extractPlateWell,extraction_key
266,0.057090804,0.017964,0.048883513,-0.113604338,0.130600661,0.036470313,PlDNA_11,FL-KingPlan,MVP-FL-4,A9_CviMVPe_PlDNA_11_70711_2d86bcec,FL-KingPlan,MVP-FL-4,70711,A7,bbd8ea04
106,0.057265204,0.014538315,0.026241563,-0.070555735,-0.138745725,-0.040986094,PlDNA_11,DEBY,MVP-DEBY-2,B6_CviMVPe_PlDNA_11_70222_3dfdf34f,DEBY,MVP-DEBY-2,70222,C1,d9a81563
163,0.057663667,0.020184334,0.047931726,-0.11915305,0.133007883,0.038462318,PlDNA_11,FL-KingPlan,MVP-FL-6,A11_CviMVPe_PlDNA_11_70370_27deb86d,FL-KingPlan,MVP-FL-6,70370,A3,9e4b9381
226,0.057840842,0.01841768,0.047227263,-0.116793443,0.137298421,0.037987014,PlDNA_11,FL-KingPlan,MVP-FL-5,E3_CviMVPe_PlDNA_11_70601_c8e421af,FL-KingPlan,MVP-FL-5,70601,E3,c23a6c77
87,0.05792213,0.016921451,0.046752009,-0.110317545,0.124102897,0.033775934,PlDNA_11,FL-KingPlan,MVP-FL-1,A6_CviMVPe_PlDNA_11_70185_bcc70a9d,FL-KingPlan,MVP-FL-1,70185,A6,f097bc61
243,0.058027831,0.020683972,0.044032432,-0.106440107,0.11369338,0.034377136,PlDNA_12,FL-KingPlan,MVP-FL-5,A5_CviMVPe_PlDNA_12_70637_8fca2b71,FL-KingPlan,MVP-FL-5,70637,B7,df45f389
5,0.059575466,0.01090164,0.025143568,-0.012743709,-0.100701948,-0.026415526,PlDNA_13,NH-GrtBay,MVP-NH-2,E9_CviMVPe_PlDNA_13_70008_7c385268,NH-GrtBay,MVP-NH-2,70008,H2,71401ea3
11,0.060265917,0.011074512,0.027191969,-0.01239926,-0.108429173,-0.027969684,PlDNA_13,NH-GrtBay,MVP-NH-1,A4_CviMVPe_PlDNA_13_70029_c982ff49,NH-GrtBay,MVP-NH-1,70029,B6,35045777
73,0.06053994,0.00937809,0.022582515,-0.012779077,-0.088973803,-0.022796351,PlDNA_13,NH-GrtBay,MVP-NH-3,C4_CviMVPe_PlDNA_13_70153_a1f094b4,NH-GrtBay,MVP-NH-3,70153,D3,96d9cd31
258,0.06064864,0.018672315,0.049575951,-0.121629929,0.143909966,0.040896679,PlDNA_11,FL-KingPlan,MVP-FL-4,E2_CviMVPe_PlDNA_11_70659_58ee162c,FL-KingPlan,MVP-FL-4,70659,E2,854adf08
217,0.060747991,0.012926949,0.026633076,-0.022707286,-0.120134169,-0.03373766,PlDNA_13,NH-GrtBay,MVP-NH-6,G1_CviMVPe_PlDNA_13_70585_40838a2d,NH-GrtBay,MVP-NH-6,70585,G7,b2c8d0f0
236,0.06112463,0.011224828,0.026233711,-0.018200197,-0.0994171,-0.027363397,PlDNA_11,NH-GrtBay,MVP-NH-6,C4_CviMVPe_PlDNA_11_70621_6decd27a,NH-GrtBay,MVP-NH-6,70621,C4,e0d64b5b
237,0.061180131,0.011849518,0.024026028,-0.019249758,-0.100444725,-0.02629252,PlDNA_12,NH-GrtBay,MVP-NH-6,F5_CviMVPe_PlDNA_12_70622_0ef87a65,NH-GrtBay,MVP-NH-6,70622,F5,7daa5592
30,0.061349907,0.01087578,0.026392103,-0.014684006,-0.105963251,-0.027800374,PlDNA_12,NH-GrtBay,MVP-NH-1,G5_CviMVPe_PlDNA_12_70069_fb9d5a5b,NH-GrtBay,MVP-NH-1,70069,G5,edf4de07
255,0.061376333,0.011936806,0.057646814,0.081089216,0.083824032,0.021818289,PlDNA_11,Poly-WithOutcross,MVP-LARMIX-4,G1_CviMVPe_PlDNA_11_70656_47cc693a,Poly-WithOutcross,MVP-LARMIX-4,70656,G1,9707cf7f
42,0.061410601,0.012258279,0.026823807,-0.011251186,-0.092884996,-0.023665501,PlDNA_11,NH-GrtBay,MVP-NH-1,H4_CviMVPe_PlDNA_11_70088_5ec067e3,NH-GrtBay,MVP-NH-1,70088,H4,bab8bfce
75,0.061516551,0.011326973,0.028573361,-0.018552211,-0.110461217,-0.032539043,PlDNA_11,NH-GrtBay,MVP-NH-3,H6_CviMVPe_PlDNA_11_70158_327135ee,NH-GrtBay,MVP-NH-3,70158,H6,c9c337dc
200,0.061525143,0.01153042,0.025236705,-0.014950932,-0.096678481,-0.026040488,PlDNA_11,NH-GrtBay,MVP-NH-4,C3_CviMVPe_PlDNA_11_70467_4ebc06c7,NH-GrtBay,MVP-NH-4,70467,C3,37b394d7
4,0.061665535,0.011349342,0.029455407,-0.020816874,-0.127488871,-0.039579089,PlDNA_11,NH-GrtBay,MVP-NH-2,H5_CviMVPe_PlDNA_11_70007_b7ee905d,NH-GrtBay,MVP-NH-2,70007,H5,e053298f
6,0.061878442,0.009117528,0.030414807,0.006226424,-0.08699439,-0.020170619,PlDNA_12,NH-GrtBay,MVP-NH-2,D5_CviMVPe_PlDNA_12_70009_9d4602c9,NH-GrtBay,MVP-NH-2,70009,D5,b61754bd
153,0.061894904,0.011795898,0.057391493,0.098439312,0.087165615,0.020747668,PlDNA_13,Poly-WithOutcross,MVP-LARMIX-5,F1_CviMVPe_PlDNA_13_70340_1f490282,Poly-WithOutcross,MVP-LARMIX-5,70340,F1,8bc0bda3
